timestamp,open,high,low,close,volume
12/10/2012,37.0,37.0,34.91,35.0,749378
12/11/2012,35.05,35.69,34.95,35.32,1472086
12/12/2012,35.25,35.25,33.09,33.36,2530442
12/13/2012,33.5,34.24,32.61,33.8,4253305
12/14/2012,33.9,34.08,32.65,33.0,4006673
12/17/2012,33.5,37.07,32.51,33.4,5516965
12/18/2012,33.4,34.68,32.95,34.43,3740536
12/19/2012,34.8,34.82,33.73,34.25,1480328
12/20/2012,34.5,34.5,33.85,34.32,1010326
12/21/2012,34.29,35.35,34.2,35.35,1276538
12/24/2012,35.6,35.6,34.6,35.25,286712
12/26/2012,35.27,35.51,34.85,34.9,559872
12/27/2012,35.37,35.37,33.2,34.97,915775
12/28/2012,34.67,34.96,34.36,34.52,1085137
12/31/2012,34.04,35.05,34.0,34.16,5740949
01/02/2013,34.92,35.4,34.1,35.12,13767988
01/03/2013,35.0,35.0,34.16,34.83,16739207
01/04/2013,34.62,34.89,34.25,34.3908,21372640
01/07/2013,34.15,35.45,34.15,34.46,17897120
01/08/2013,34.29,34.64,33.36,33.71,17863392
01/09/2013,33.61,33.95,33.61,33.9,18800672
01/10/2013,33.66,34.0,33.33,34.0,15660777
01/11/2013,33.59,33.9,33.35,33.85,11191445
01/14/2013,34.01,34.25,33.8,34.09,11584902
01/15/2013,33.71,34.72,33.71,34.6,13042598
01/16/2013,34.47,35.54,34.45,35.54,16512684
01/17/2013,35.75,36.7,35.75,36.42,14426262
01/18/2013,36.43,37.32,36.04,37.32,17844112
01/22/2013,36.98,37.25,35.93,36.42,15809672
01/23/2013,36.91,37.84,36.5,37.8,10981871
01/24/2013,37.79,38.52,37.23,37.46,11327543
01/25/2013,37.52,37.84,36.64,37.6,8935316
01/28/2013,37.65,37.87,36.71,36.89,7140027
01/29/2013,36.71,37.46,36.25,37.31,8839043
01/30/2013,36.81,37.525,36.81,36.93,10842449
01/31/2013,36.84,36.93,36.27,36.69,10720871
02/01/2013,36.84,37.2,36.52,37.18,9528043
02/04/2013,36.64,37.3,36.55,37.28,6347914
02/05/2013,37.42,37.73,37.18,37.2,7284676
02/06/2013,36.96,37.28,36.86,37.14,5738898
02/07/2013,37.57,37.57,35.8,36.42,9874219
02/08/2013,36.37,36.42,35.825,36.25,13859012
02/11/2013,36.13,36.18,35.75,35.85,6032059
02/12/2013,35.77,35.9,35.2,35.42,7473992
02/13/2013,35.42,35.57,35.15,35.27,4860055
02/14/2013,35.05,36.73,35.01,36.57,7570051
02/15/2013,36.93,37.81,36.93,37.58,13296887
02/19/2013,37.54,38.33,37.11,38.19,8292613
02/20/2013,38.16,39.13,37.61,38.61,8096328
02/21/2013,38.49,39.025,38.19,38.78,7261137
02/22/2013,38.79,38.85,38.14,38.46,4490836
02/25/2013,38.54,38.61,37.37,37.37,4665672
02/26/2013,37.6,37.6,36.96,37.09,4462938
02/27/2013,36.97,36.98,36.4,36.73,12238465
02/28/2013,36.66,37.14,36.5,36.92,10322500
03/01/2013,36.8,38.07,36.551,37.81,8929379
03/04/2013,37.53,38.25,37.53,38.24,5420719
03/05/2013,38.45,38.57,37.29,37.51,6650309
03/06/2013,37.56,37.86,37.37,37.74,5489699
03/07/2013,37.65,38.01,37.44,37.49,4442422
03/08/2013,37.64,37.65,37.16,37.34,4114898
03/11/2013,37.25,38.15,37.08,37.67,4614352
03/12/2013,37.7,38.3,37.05,37.17,6524031
03/13/2013,37.2,37.5899,37.04,37.17,3710541
03/14/2013,37.43,37.59,36.86,37.56,9864531
03/15/2013,37.44,38.54,37.28,38.5,12208852
03/18/2013,38.05,38.49,37.99,38.16,5179094
03/19/2013,38.25,38.4,37.84,38.36,5108398
03/20/2013,38.5,39.19,38.41,39.06,7073266
03/21/2013,38.82,38.97,38.48,38.49,4738156
03/22/2013,38.57,38.97,38.3,38.97,3323330
03/25/2013,39.12,39.52,38.93,39.32,6064941
03/26/2013,39.57,40.52,39.57,40.21,7249496
03/27/2013,40.22,40.29,39.66,40.15,4275285
03/28/2013,40.26,40.8,39.775,40.78,7264746
04/01/2013,39.96,41.14,39.96,41.12,5739918
04/02/2013,41.22,41.22,40.52,40.71,5510629
04/03/2013,40.75,41.45,40.35,40.57,4122422
04/04/2013,40.77,41.78,40.624,41.6,20688368
04/05/2013,41.31,41.5,41.09,41.31,14091703
04/08/2013,41.27,41.87,41.07,41.77,16449215
04/09/2013,41.96,43.56,41.8,42.55,8674668
04/10/2013,42.65,43.77,42.5,43.62,7815594
04/11/2013,43.42,43.705,43.11,43.2,6494383
04/12/2013,42.97,43.29,42.62,43.09,4202266
04/15/2013,42.87,43.03,41.41,41.44,7153137
04/16/2013,41.67,42.53,41.13,42.45,6999109
04/17/2013,42.14,42.43,41.42,42.24,5046270
04/18/2013,42.37,42.64,41.89,42.32,5008973
04/19/2013,42.51,42.58,42.2,42.39,6493328
04/22/2013,43.0,44.83,42.88,44.2,8531645
04/23/2013,44.61,46.32,44.4,45.14,9380305
04/24/2013,45.14,45.34,43.94,44.32,5541883
04/25/2013,44.75,44.7899,43.76,44.24,5237277
04/26/2013,44.95,46.31,44.75,45.84,10100906
04/29/2013,45.83,45.93,45.05,45.23,6025500
04/30/2013,45.05,46.23,45.01,46.05,6799570
05/01/2013,45.74,46.09,45.55,45.55,6399555
05/02/2013,45.68,45.68,43.86,43.99,9651488
05/03/2013,44.31,44.77,43.83,44.68,4643020
05/06/2013,44.95,44.95,44.15,44.59,4085682
05/07/2013,44.5,45.0,44.4201,44.91,3745563
05/08/2013,45.01,45.05,43.39,43.49,6973379
05/09/2013,43.34,44.45,43.25,44.24,5047066
05/10/2013,44.21,45.01,44.2,45.01,4455863
05/13/2013,44.79,44.79,44.17,44.54,3738818
05/14/2013,44.09,45.52,44.09,45.35,5761113
