timestamp,open,high,low,close,volume
02/09/2009,66.56,67.36,65.38,66.71,9445965
02/10/2009,66.15,67.23,63.07,63.31,10702602
02/11/2009,63.1,64.9,62.25,64.354,8350895
02/12/2009,63.25,64.25,61.71,63.96,8098434
02/13/2009,63.97,64.68,62.87,63.26,4131523
02/17/2009,61.67,62.65,61.18,61.67,7126840
02/18/2009,62.2706,62.78,60.52,62.35,7367266
02/19/2009,62.84,64.18,61.67,61.95,6771258
02/20/2009,61.07,64.15,60.84,63.86,9354863
02/23/2009,64.16,64.91,61.52,61.71,7336457
02/24/2009,61.97,66.1,61.89,65.6,10273855
02/25/2009,64.9,65.75,62.82,63.71,9122418
02/26/2009,64.12,64.73,62.34,62.34,7276617
02/27/2009,61.26,65.08,60.94,64.79,11494195
03/02/2009,63.94,65.52,61.51,61.99,10513859
03/03/2009,62.75,63.29,61.3,61.7,9697477
03/04/2009,62.8,65.79,62.4,64.81,11960836
03/05/2009,64.12,65.8,63.6,64.77,11771988
03/06/2009,65.2,65.5,59.82,61.69,15094727
03/09/2009,62.2,64.03,60.15,60.49,13564559
03/10/2009,62.49,65.9,61.7801,65.71,15437461
03/11/2009,66.24,69.37,65.27,68.54,13889184
03/12/2009,68.35,69.8699,67.25,69.58,11351809
03/13/2009,69.64,69.74,67.53,68.63,8903578
03/16/2009,68.56,69.295,66.68,66.98,9437238
03/17/2009,67.37,71.705,67.0,71.35,11910402
03/18/2009,70.97,73.91,70.13,71.25,10404574
03/19/2009,71.4,71.91,69.24,70.1,8819453
03/20/2009,70.39,70.89,69.08,69.96,8469590
03/23/2009,71.36,75.61,70.7,75.58,8613863
03/24/2009,74.85,75.0,72.31,72.81,7459484
03/25/2009,73.09,73.95,69.84,72.4,7897336
03/26/2009,73.47,74.98,72.64,73.69,6659746
03/27/2009,71.61,72.29,70.1,70.52,8571348
03/30/2009,70.4,71.67,69.75,71.44,8378605
03/31/2009,72.61,74.5,72.12,73.44,8923797
04/01/2009,73.015,75.09,71.71,73.5,7048898
04/02/2009,73.63,77.24,73.44,76.34,11069016
04/03/2009,76.42,78.32,75.5,78.17,5810613
04/06/2009,77.26,78.36,76.0,77.99,5758168
04/07/2009,76.97,77.08,74.88,75.51,5751059
04/08/2009,75.93,77.11,74.5703,76.98,5653016
04/09/2009,77.51,80.0,77.26,79.77,7082961
04/13/2009,79.84,79.97,77.85,78.94,6214391
04/14/2009,78.0,79.46,76.94,77.22,6165531
04/15/2009,75.5,75.81,73.51,74.71,9414387
04/16/2009,75.33,77.48,75.16,77.25,7469328
04/17/2009,76.78,78.72,75.88,78.05,7428738
04/20/2009,78.44,79.79,76.83,77.57,8690863
04/21/2009,77.33,79.1,77.29,78.74,7163121
04/22/2009,78.17,82.18,77.81,79.2,8775430
04/23/2009,81.33,82.06,79.08,80.61,16187648
04/24/2009,82.03,86.68,80.73,84.46,23485536
04/27/2009,83.88,84.98,82.21,83.12,9708383
04/28/2009,82.68,85.35,82.4,82.4,7926273
04/29/2009,82.99,82.99,79.26,79.79,9735102
04/30/2009,80.93,82.67,79.89,80.52,8542852
05/01/2009,80.38,80.38,77.85,78.96,6122809
05/04/2009,80.26,81.35,78.85,79.77,7027039
05/05/2009,81.01,82.0,80.19,81.9,5874621
05/06/2009,82.88,83.6,79.66,81.99,8604504
05/07/2009,82.73,82.75,77.88,79.28,9634070
05/08/2009,79.69,80.23,76.31,77.95,8194520
05/11/2009,76.8,79.85,76.01,78.61,6874523
05/12/2009,78.7,78.97,76.53,77.93,5551172
05/13/2009,76.25,76.6503,74.01,74.19,8773676
05/14/2009,73.79,76.06,73.31,75.11,9344465
05/15/2009,74.54,76.21,73.42,73.6,8011613
05/18/2009,73.96,75.96,73.1,75.95,6829332
05/19/2009,75.43,78.96,75.12,77.87,8028820
05/20/2009,78.5,81.11,77.42,77.97,7351039
05/21/2009,76.75,77.97,75.4,75.96,5641004
05/22/2009,76.1,77.04,75.02,75.64,3485111
05/26/2009,75.03,78.48,74.55,78.39,6705207
05/27/2009,78.51,79.5,76.75,77.1,5568781
05/28/2009,77.7,79.1,75.88,77.65,4943145
05/29/2009,77.72,78.01,76.4,77.99,5073328
06/01/2009,78.21,84.8,77.49,83.05,10799648
06/02/2009,82.42,85.45,82.1,84.93,9397695
06/03/2009,83.31,85.71,83.13,85.68,7604820
06/04/2009,85.42,86.4,84.57,85.52,5465855
06/05/2009,86.29,87.95,85.3,87.56,8263699
06/08/2009,86.75,87.18,85.11,86.36,5602730
06/09/2009,86.93,87.67,86.17,87.08,4476844
06/10/2009,87.58,88.56,84.83,86.59,6073766
06/11/2009,86.3,87.49,85.05,85.69,5013238
06/12/2009,85.03,85.2,82.01,84.08,6223055
06/15/2009,82.83,83.3,81.0,83.18,5401781
06/16/2009,83.7,83.95,81.28,82.15,5466891
06/17/2009,82.5,84.3,80.64,82.65,7785113
06/18/2009,82.81,82.95,81.0,81.595,5453160
06/19/2009,82.15,83.46,81.5,82.96,5441504
06/22/2009,82.41,82.43,78.56,79.15,9745957
06/23/2009,78.97,79.095,76.25,77.68,7415652
06/24/2009,78.0,80.53,77.8,79.27,6081398
06/25/2009,79.1,82.23,79.03,82.2,7361781
06/26/2009,81.9,84.14,81.13,83.88,8775789
06/29/2009,83.87,84.2,82.41,83.03,6271129
06/30/2009,83.62,84.92,82.47,83.66,7985047
07/01/2009,84.42,84.5,81.37,81.6,6981980
07/02/2009,81.11,81.37,78.51,79.32,7219035
07/06/2009,78.45,78.89,76.54,78.1,7369684
07/07/2009,78.53,78.69,75.41,75.63,6491926
07/08/2009,76.46,77.93,75.7,77.36,8541113
07/09/2009,78.25,78.54,76.82,78.1,6359555
