timestamp,open,high,low,close,volume
02/09/2009,42.8,43.42,42.44,42.8,5091902.0
02/10/2009,41.29,42.23,40.02,40.21,9999164.0
02/11/2009,40.51,40.76,39.86,40.33,6519293.0
02/12/2009,39.58,39.99,38.58,39.86,6028813.0
02/13/2009,39.89,41.19,39.89,40.48,5483457.0
02/17/2009,39.49,39.7436,38.3,38.43,6949371.0
02/18/2009,38.77,38.77,37.76,37.98,6324426.0
02/19/2009,38.24,38.7,37.42,37.57,5467492.0
02/20/2009,36.73,37.2,35.32,36.31,10598816.0
02/23/2009,36.73,36.79,34.35,34.46,9519746.0
02/24/2009,34.44,35.8326,33.8906,35.44,10815805.0
02/25/2009,35.27,35.27,33.22,33.91,11684406.0
02/26/2009,34.5,34.62,32.64,32.71,8772641.0
02/27/2009,32.3,32.37,31.4,31.44,11791145.0
03/02/2009,30.96,31.0,29.32,29.51,13957449.0
03/03/2009,29.7,30.11,29.05,29.36,10434637.0
03/04/2009,29.86,30.78,29.11,30.31,11627492.0
03/05/2009,29.22,30.02,29.07,29.39,11677477.0
03/06/2009,29.61,30.2,29.39,30.1,13134934.0
03/09/2009,29.98,31.46,29.96,31.0,12407246.0
03/10/2009,31.42,33.02,31.32,33.01,11503738.0
03/11/2009,32.59,33.7,32.39,33.27,10823125.0
03/12/2009,33.01,33.75,32.39,33.63,6133117.0
03/13/2009,33.72,34.1,32.93,33.4,7433922.0
03/16/2009,33.74,34.96,33.38,33.83,7157180.0
03/17/2009,33.92,34.44,33.26,34.44,5270820.0
03/18/2009,34.29,34.75,32.5,33.75,15880434.0
03/19/2009,33.86,34.12,32.97,33.19,10427238.0
03/20/2009,33.22,33.5,32.54,32.55,11323371.0
03/23/2009,33.2,35.5,33.05,35.5,8224801.0
03/24/2009,34.88,36.7199,34.82,36.1,8468465.0
03/25/2009,36.03,37.79,35.97,37.06,12446133.0
03/26/2009,37.32,38.68,36.91,38.66,9545246.0
03/27/2009,38.23,38.47,37.071,37.53,7329930.0
03/30/2009,36.63,36.98,35.11,35.52,10833746.0
03/31/2009,35.9,36.24,35.05,35.58,11554621.0
04/01/2009,34.52,35.6,34.21,35.44,9288961.0
04/02/2009,36.16,37.98,36.16,37.2,9449238.0
04/03/2009,37.23,38.12,36.39,37.69,8591254.0
04/06/2009,37.48,38.22,36.54,38.16,7390250.0
04/07/2009,37.51,37.69,36.51,36.64,6017902.0
04/08/2009,36.5,37.16,36.24,36.87,4477215.0
04/09/2009,37.68,39.18,37.68,39.15,9069453.0
04/13/2009,36.97,37.48,35.81,37.15,9531344.0
04/14/2009,36.51,37.5,36.3,37.04,5845449.0
04/15/2009,36.63,38.04,36.61,37.57,5452172.0
04/16/2009,37.62,38.75,37.0,38.39,6424207.0
04/17/2009,38.55,38.78,38.18,38.32,6152359.0
04/20/2009,37.65,37.8575,36.36,36.48,7016922.0
04/21/2009,36.66,36.66,35.935,36.65,7354023.0
04/22/2009,37.85,38.32,36.54,37.3,11625938.0
04/23/2009,37.29,38.12,36.6,37.93,6400648.0
04/24/2009,38.1,39.01,37.75,38.72,8351453.0
04/27/2009,37.99,39.85,37.72,39.47,8546410.0
04/28/2009,39.11,39.42,38.32,38.85,6628145.0
04/29/2009,39.09,40.73,39.02,40.55,7776238.0
04/30/2009,41.07,41.74,39.9,40.05,7034297.0
05/01/2009,40.31,41.37,40.09,41.21,5508746.0
05/04/2009,41.9,42.18,41.51,42.18,5269977.0
05/05/2009,41.92,43.25,41.92,43.15,7684469.0
05/06/2009,43.3,44.21,43.08,44.2,7930734.0
05/07/2009,44.47,44.62,42.75,43.53,7106645.0
05/08/2009,43.96,45.84,43.77,45.83,7492281.0
05/11/2009,45.26,45.6,44.53,44.72,9595953.0
05/12/2009,44.54,45.07,43.29,44.1,7068691.0
